Unnamed: 0,CID,OdorName,CAS,CanonicalSMILES,MolecularWeight,Odor dilution,EDIBLE,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL,HOW STRONG IS THE SMELL?,HOW PLEASANT IS THE SMELL?,HOW FAMILIAR IS THE SMELL?
6,24197,Diethyl malate,7554-12-3,CCOC(=O)CC(C(=O)OCC)O,190.19,"1/1,000",23.6,7.333333333333333,25.4,42.5,31.75,21.2,32.0,27.0,29.58333333333333,28.75,25.77777777777778,46.16666666666666,29.0,46.42857142857143,23.571428571428573,16.5,25.5,16.75,9.0,13.8,24.59375,41.4375,35.75
6,24197,Diethyl malate,7554-12-3,CCOC(=O)CC(C(=O)OCC)O,190.19,"1/100,000",94.0,57.0,60.5,8.5,62.0,69.0,59.5,33.833333333333336,29.5,16.666666666666668,20.75,8.0,33.2,6.5,11.333333333333334,22.0,52.0,4.0,13.0,41.75,12.55,55.25,22.05
7,7476,Acetanisole,100-06-1,CC(=O)C1=CC=C(C=C1)OC,150.17,"1/1,000",32.54545454545455,17.0,24.193548387096776,25.9,14.0,53.0,18.625,36.625,45.66666666666666,51.0,26.166666666666668,25.666666666666668,39.333333333333336,25.0,35.0,38.5,21.5,10.333333333333334,28.157894736842103,31.615384615384617,44.145833333333336,68.8125,50.0
7,7476,Acetanisole,100-06-1,CC(=O)C1=CC=C(C=C1)OC,150.17,1/10,36.16666666666666,32.81818181818182,33.53125,22.0,1.0,27.0,34.31578947368421,10.2,10.444444444444445,28.55555555555556,21.33333333333333,24.73333333333333,22.666666666666668,16.0,32.285714285714285,6.75,19.55555555555556,19.125,32.36363636363637,30.428571428571427,82.23636363636363,53.30909090909091,56.47272727272728
8,61252,"4,5-Dihydro-3(2H)-thiophenone",1003-04-9,C1CSCC1=O,102.16,"1/1,000",26.875,46.0,20.33333333333333,1.0,38.0,33.72727272727273,22.47826086956522,16.0,33.266666666666666,30.210526315789476,15.0,17.77777777777778,17.866666666666667,7.0,32.666666666666664,30.25,9.4,22.25,7.5,28.526315789473685,85.78181818181818,21.4,52.90909090909091
8,61252,"4,5-Dihydro-3(2H)-thiophenone",1003-04-9,C1CSCC1=O,102.16,"1/100,000",3.2,26.0,10.1,11.666666666666666,40.4,23.142857142857142,21.22222222222222,17.0,27.75,37.5,14.666666666666666,22.8,27.0,7.5,23.0,24.5,28.33333333333333,20.0,10.666666666666666,29.55555555555556,37.035714285714285,33.25,30.75
9,24834,4-Ethoxybenzaldehyde,10031-82-0,CCOC1=CC=C(C=C1)C=O,150.17,"1/1,000",36.55,31.363636363636363,39.26315789473684,29.52173913043478,1.0,20.0,32.666666666666664,34.5,31.571428571428573,5.333333333333333,33.0,26.33333333333333,12.333333333333334,14.0,20.666666666666668,17.0,7.666666666666667,19.5,25.2,33.25,65.24528301886792,67.37735849056604,58.471698113207545
9,24834,4-Ethoxybenzaldehyde,10031-82-0,CCOC1=CC=C(C=C1)C=O,150.17,"1/100,000",43.25,22.375,35.48148148148148,34.4,,64.0,37.90909090909091,21.0,29.25,8.5,18.8,31.3,31.545454545454547,11.666666666666666,15.0,1.0,45.0,36.8,34.214285714285715,13.88888888888889,34.24390243902439,66.39024390243902,47.170731707317074
10,7500,ethylbenzene,100-41-4,CCC1=CC=CC=C1,106.16,"1/1,000",18.25,28.0,33.0,1.0,1.0,1.0,29.857142857142858,24.285714285714285,23.55555555555556,22.153846153846157,23.1875,34.166666666666664,22.1,17.75,22.157894736842103,19.5,34.8,22.0,33.5,43.47826086956522,75.54545454545455,35.236363636363635,51.41818181818182
10,7500,ethylbenzene,100-41-4,CCC1=CC=CC=C1,106.16,"1/100,000",33.25,12.0,40.5,46.0,,12.0,25.0,34.5,29.4,23.0,36.66666666666666,15.0,13.0,37.0,32.0,68.0,3.0,3.5,13.0,38.71428571428572,22.96,50.36,36.96
11,244,benzyl alcohol,100-51-6,C1=CC=C(C=C1)CO,108.14,"1/1,000",38.0,31.0,36.458333333333336,38.375,,15.0,34.625,37.125,25.0,20.625,55.0,24.8,18.4,15.0,56.66666666666666,9.0,21.666666666666668,29.0,13.4,29.19047619047619,45.375,52.35416666666666,40.22916666666666
11,244,benzyl alcohol,100-51-6,C1=CC=C(C=C1)CO,108.14,1/10,28.125,10.6,40.125,37.0,4.333333333333333,1.0,39.625,34.27272727272727,17.571428571428573,13.454545454545457,30.4,21.22222222222222,29.90909090909091,8.6,23.307692307692307,22.33333333333333,16.4,1.0,41.0,47.80645161290322,74.15094339622641,46.71698113207548,55.0377358490566
12,240,benzaldehyde,100-52-7,C1=CC=C(C=C1)C=O,106.12,"1/1,000",34.42307692307692,38.53333333333333,29.526315789473685,29.666666666666668,10.0,1.0,28.125,14.8,19.625,6.75,19.666666666666668,15.1,18.444444444444443,2.0,16.428571428571427,5.5,3.0,21.5,24.444444444444443,36.26086956521739,77.41818181818182,61.50909090909091,61.30909090909091
12,240,benzaldehyde,100-52-7,C1=CC=C(C=C1)C=O,106.12,"1/100,000",37.16666666666666,28.33333333333333,36.095238095238095,17.214285714285715,11.0,30.0,2.5,30.0,19.25,2.5,4.5,30.75,27.0,5.666666666666667,14.0,24.0,5.5,1.0,19.33333333333333,49.5,30.61290322580645,64.64516129032258,45.29032258064516
13,7519,anisole,100-66-3,COC1=CC=CC=C1,108.14,"1/1,000",2.5,2.0,21.666666666666668,26.0,19.0,10.4,23.83333333333333,37.66666666666666,30.88888888888889,13.23076923076923,35.111111111111114,41.66666666666666,23.384615384615383,21.875,32.4,29.25,19.444444444444443,26.25,20.2,39.39473684210526,75.29629629629629,29.296296296296298,45.01851851851852
13,7519,anisole,100-66-3,COC1=CC=CC=C1,108.14,"1/100,000",16.0,43.5,31.8,1.0,37.0,2.5,13.75,9.666666666666666,26.0,10.8,14.6,27.0,32.285714285714285,7.0,8.0,4.5,27.5,15.5,18.33333333333333,25.0,30.93103448275862,50.241379310344826,35.37931034482759
14,7559,Methyl phenylacetate,101-41-7,COC(=O)CC1=CC=CC=C1,150.17,"1/1,000",35.4,7.0,32.68421052631579,27.285714285714285,3.333333333333333,16.5,17.5,38.72727272727273,37.53333333333333,6.857142857142857,20.0,29.181818181818183,41.588235294117645,38.1,31.142857142857142,27.25,15.625,28.33333333333333,35.8125,34.0,69.14545454545454,42.89090909090909,53.96363636363636
14,7559,Methyl phenylacetate,101-41-7,COC(=O)CC1=CC=CC=C1,150.17,"1/100,000",73.33333333333333,51.0,34.25,5.0,13.25,39.5,28.63636363636364,40.66666666666666,30.1,17.5,27.0,23.571428571428573,30.0,25.714285714285715,37.85714285714285,29.0,17.75,27.4,21.3,33.76470588235294,58.142857142857146,42.285714285714285,49.57142857142857
15,7583,Diphenyl ether,101-84-8,C1=CC=C(C=C1)OC2=CC=CC=C2,170.21,"1/1,000",45.16666666666666,32.0,21.444444444444443,21.5,11.5,16.0,39.625,29.2,17.285714285714285,17.0,34.22222222222222,18.857142857142858,13.0,11.6,35.625,5.0,18.90909090909091,16.333333333333332,19.428571428571427,26.741935483870968,55.13207547169812,49.9245283018868,40.39622641509434
15,7583,Diphenyl ether,101-84-8,C1=CC=C(C=C1)OC2=CC=CC=C2,170.21,"1/100,000",51.5,34.5,18.0,,,48.0,29.142857142857142,51.0,8.333333333333334,12.25,,32.666666666666664,22.8,37.0,,,46.5,13.333333333333334,41.66666666666666,11.5,26.954545454545453,46.45454545454545,42.36363636363637
16,7593,"1,3-Diphenyl-2-propanone",102-04-5,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,210.27,"1/1,000",41.16666666666666,7.0,24.545454545454547,1.0,1.0,37.66666666666666,34.0,22.857142857142858,32.13333333333333,36.0,24.25,34.5,32.1578947368421,48.4,24.5,18.692307692307693,23.33333333333333,12.25,16.666666666666668,32.40909090909091,78.12962962962963,32.68518518518518,49.7037037037037
16,7593,"1,3-Diphenyl-2-propanone",102-04-5,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,210.27,"1/100,000",9.25,31.5,36.55555555555556,24.0,21.0,21.0,9.666666666666666,34.0,24.88888888888889,18.83333333333333,12.333333333333334,27.75,36.85714285714285,18.75,31.90909090909091,21.83333333333333,16.0,31.0,5.25,23.9,35.41463414634146,43.02439024390244,48.1219512195122
17,60998,Isobutyl phenylacetate,102-13-6,CC(C)COC(=O)CC1=CC=CC=C1,192.25,"1/1,000",38.0,16.6,28.0,17.333333333333332,27.5,87.0,14.285714285714286,20.8,35.8,28.0,32.8,34.111111111111114,23.846153846153847,16.09090909090909,20.666666666666668,24.727272727272727,28.375,25.5,22.11111111111111,38.0,52.02,45.52,49.0
17,60998,Isobutyl phenylacetate,102-13-6,CC(C)COC(=O)CC1=CC=CC=C1,192.25,"1/100,000",36.5,27.5,26.4,17.0,1.0,12.333333333333334,16.0,25.285714285714285,19.5,11.6,14.25,12.875,29.0,24.25,29.33333333333333,29.666666666666668,38.0,21.25,25.444444444444443,16.4,15.73076923076923,54.34615384615385,33.69230769230769
18,60999,Benzyl phenylacetate,102-16-9,C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,226.27,"1/1,000",25.75,42.0,36.16666666666666,14.0,26.33333333333333,29.5,25.2,8.5,37.75,15.857142857142858,33.625,26.5,34.44444444444444,29.8,27.5,24.2,40.8,15.666666666666666,28.3,27.63636363636364,54.4468085106383,31.0,49.80851063829788
18,60999,Benzyl phenylacetate,102-16-9,C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,226.27,"1/100,000",16.666666666666668,28.0,20.857142857142858,,53.0,43.5,47.4,36.66666666666666,33.57142857142857,24.2,28.0,21.8,18.33333333333333,33.333333333333336,24.0,8.0,36.25,27.666666666666668,41.0,25.0,37.38461538461539,47.03846153846154,37.34615384615385
19,7601,Phenethyl phenylacetate,102-20-5,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,240.3,"1/1,000",17.75,22.0,40.05882352941177,31.25,32.0,29.666666666666668,16.0,31.0,30.166666666666668,13.0,15.571428571428571,30.11111111111111,35.75,26.0,22.33333333333333,5.666666666666667,27.0,24.33333333333333,40.44444444444444,34.46153846153846,42.55,53.35,32.775
19,7601,Phenethyl phenylacetate,102-20-5,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,240.3,"1/100,000",19.5,28.5,19.666666666666668,,19.5,,39.5,,32.166666666666664,7.5,16.5,25.0,16.0,20.666666666666668,26.0,88.0,10.333333333333334,4.0,76.0,84.0,17.25,52.85,31.55
20,5541,Triacetin,102-76-1,CC(=O)OCC(COC(=O)C)OC(=O)C,218.2,"1/1,000",21.0,31.5,14.875,19.4,8.75,22.0,32.166666666666664,23.444444444444443,34.23076923076923,21.727272727272727,31.454545454545453,31.375,21.0,31.0,23.25,34.42857142857143,12.25,21.33333333333333,20.0,22.0,45.130434782608695,38.91304347826087,39.17391304347826
20,5541,Triacetin,102-76-1,CC(=O)OCC(COC(=O)C)OC(=O)C,218.2,1/10,22.857142857142858,24.33333333333333,19.166666666666668,16.2,20.75,18.428571428571427,25.272727272727277,16.5,38.95652173913044,18.2,27.6875,29.0,30.125,21.0,28.33333333333333,6.5,8.666666666666666,1.0,8.5,20.727272727272727,57.8,33.08888888888889,54.51111111111111
21,7632,dimethyl benzene propanol,103-05-9,CC(C)(CCC1=CC=CC=C1)O,164.24,"1/1,000",27.0,13.0,29.76923076923077,9.8,7.0,17.0,35.375,27.75,36.8,22.0,27.142857142857142,26.0,20.83333333333333,20.666666666666668,15.5,36.5,26.77777777777778,27.714285714285715,38.79166666666666,19.666666666666668,38.23809523809524,64.26190476190476,46.285714285714285
21,7632,dimethyl benzene propanol,103-05-9,CC(C)(CCC1=CC=CC=C1)O,164.24,"1/100,000",31.33333333333333,12.0,25.0,,14.333333333333334,63.0,16.0,24.0,14.0,21.0,23.5,21.33333333333333,17.0,1.0,9.0,1.0,17.8,3.0,27.33333333333333,22.166666666666668,12.428571428571429,52.0,44.285714285714285
22,7635,2-ethylhexyl acetate,103-09-3,CCCCC(CC)COC(=O)C,172.26,"1/1,000",31.25,24.666666666666668,28.0,15.4,29.5,22.33333333333333,24.5,17.4,33.42857142857143,36.11111111111112,25.545454545454547,24.3,26.363636363636363,22.8,3.8,7.666666666666667,33.833333333333336,30.0,43.5,33.583333333333336,44.35416666666666,42.020833333333336,38.583333333333336
22,7635,2-ethylhexyl acetate,103-09-3,CCCCC(CC)COC(=O)C,172.26,"1/100,000",39.75,34.5,27.5,9.5,,32.0,21.666666666666668,24.33333333333333,27.75,26.0,4.0,13.75,4.25,,4.0,4.666666666666667,1.0,9.5,8.333333333333334,40.8,24.608695652173918,51.34782608695652,32.69565217391305
23,637758,ethyl cinnamate,103-36-6,CCOC(=O)C=CC1=CC=CC=C1,176.21,"1/1,000",44.7,19.4,25.566666666666663,43.21052631578947,1.0,1.0,22.8,20.0,27.727272727272727,19.4,23.666666666666668,28.166666666666668,16.428571428571427,39.5,17.0,32.666666666666664,2.0,16.75,27.272727272727277,30.88888888888889,61.51063829787234,54.765957446808514,43.82978723404256
23,637758,ethyl cinnamate,103-36-6,CCOC(=O)C=CC1=CC=CC=C1,176.21,"1/100,000",29.58333333333333,15.6,30.77777777777778,23.571428571428573,8.75,10.666666666666666,12.75,13.2,23.714285714285715,22.8,13.5,22.09090909090909,20.83333333333333,11.666666666666666,14.333333333333334,1.0,14.0,12.6,25.5,28.63636363636364,55.22222222222222,63.083333333333336,43.333333333333336
24,7654,Phenethyl acetate,103-45-7,CC(=O)OCCC1=CC=CC=C1,164.2,"1/1,000",18.166666666666668,4.666666666666667,23.12,24.428571428571427,1.0,42.0,18.6,29.22222222222222,32.55555555555556,29.33333333333333,20.6,25.55555555555556,22.0,19.33333333333333,16.375,14.166666666666666,18.666666666666668,12.4,36.333333333333336,31.85,62.05555555555556,54.851851851851855,59.0925925925926
24,7654,Phenethyl acetate,103-45-7,CC(=O)OCCC1=CC=CC=C1,164.2,"1/100,000",42.85714285714285,11.0,32.857142857142854,4.666666666666667,3.0,12.666666666666666,25.666666666666668,16.8,26.142857142857142,23.6,24.142857142857142,18.75,23.83333333333333,14.333333333333334,13.333333333333334,30.0,6.0,22.2,24.90909090909091,21.55555555555556,38.24242424242424,56.93939393939394,52.24242424242424
25,7657,Benzyl ether,103-50-4,C1=CC=C(C=C1)COCC2=CC=CC=C2,198.26,"1/1,000",28.2,41.6,30.727272727272727,27.5,1.0,25.666666666666668,19.285714285714285,9.75,22.88888888888889,25.0,13.25,12.88888888888889,17.0,8.0,17.333333333333332,11.2,18.5,21.33333333333333,37.85714285714285,27.23076923076923,25.21212121212121,49.24242424242424,30.96969696969697
25,7657,Benzyl ether,103-50-4,C1=CC=C(C=C1)COCC2=CC=CC=C2,198.26,1/10,31.869565217391305,26.235294117647054,38.21428571428572,29.375,1.0,20.33333333333333,24.363636363636363,15.3,23.166666666666668,7.25,23.22222222222222,21.5,21.5,13.0,17.333333333333332,31.75,29.0,9.666666666666666,43.0,27.666666666666668,75.74545454545455,67.81818181818181,63.78181818181818
26,61005,2-Phenoxyethyl isobutyrate,103-60-6,CC(C)C(=O)OCCOC1=CC=CC=C1,208.25,"1/1,000",27.666666666666668,22.0,27.58333333333333,25.5,14.5,8.0,9.0,28.0,25.25,4.0,16.5,32.4,13.125,16.166666666666668,18.33333333333333,4.0,38.0,16.5,23.166666666666668,39.0,27.52173913043478,55.08695652173913,30.26086956521739
26,61005,2-Phenoxyethyl isobutyrate,103-60-6,CC(C)C(=O)OCCOC1=CC=CC=C1,208.25,1/10,29.75,,25.55,8.25,,12.0,19.11111111111111,16.0,33.5,30.75,27.125,20.444444444444443,19.73333333333333,11.0,44.142857142857146,62.0,22.125,10.2,21.285714285714285,33.10344827586207,58.67346938775511,43.775510204081634,44.0
27,7695,Anisyl acetate,104-21-2,CC(=O)OCC1=CC=C(C=C1)OC,180.2,"1/1,000",24.285714285714285,18.857142857142858,32.77777777777778,29.047619047619047,1.0,10.0,23.428571428571427,33.8,28.75,3.5,17.25,33.22222222222222,22.5,1.0,1.0,7.666666666666667,1.0,11.2,27.235294117647054,36.86666666666667,59.35416666666666,69.8125,52.770833333333336
27,7695,Anisyl acetate,104-21-2,CC(=O)OCC1=CC=C(C=C1)OC,180.2,"1/100,000",20.8,27.0,24.266666666666666,16.8,9.0,47.0,52.5,16.8,33.666666666666664,22.2,39.4,20.375,39.69230769230769,20.2,37.333333333333336,41.285714285714285,52.333333333333336,46.0,31.83333333333333,31.666666666666668,31.692307692307693,48.66666666666666,39.256410256410255
28,5315892,cinnamyl alcohol,104-54-1,C1=CC=C(C=C1)C=CCO,134.17,"1/1,000",28.285714285714285,34.142857142857146,37.07692307692308,34.90909090909091,,26.5,42.1578947368421,23.666666666666668,32.07142857142857,19.444444444444443,15.0,31.08333333333333,30.0,22.9,26.166666666666668,33.22222222222222,21.0,11.0,31.727272727272727,41.3125,75.84905660377359,47.37735849056604,52.64150943396226
28,5315892,cinnamyl alcohol,104-54-1,C1=CC=C(C=C1)C=CCO,134.17,"1/100,000",13.8,4.0,30.23076923076923,2.0,16.333333333333332,19.714285714285715,12.0,13.75,30.27777777777778,20.0,14.583333333333334,24.714285714285715,24.53333333333333,10.583333333333334,21.0,10.4,22.666666666666668,14.0,38.6875,30.08333333333333,59.04545454545455,42.63636363636363,53.68181818181818
481,5315892,Cinnamyl alcohol,104-54-1,C1=CC=C(C=C1)C=CCO,134.17,"1/1,000",28.285714285714285,34.142857142857146,37.07692307692308,34.90909090909091,,26.5,42.1578947368421,23.666666666666668,32.07142857142857,19.444444444444443,15.0,31.08333333333333,30.0,22.9,26.166666666666668,33.22222222222222,21.0,11.0,31.727272727272727,41.3125,75.84905660377359,47.37735849056604,52.64150943396226
481,5315892,Cinnamyl alcohol,104-54-1,C1=CC=C(C=C1)C=CCO,134.17,"1/100,000",13.8,4.0,30.23076923076923,2.0,16.333333333333332,19.714285714285715,12.0,13.75,30.27777777777778,20.0,14.583333333333334,24.714285714285715,24.53333333333333,10.583333333333334,21.0,10.4,22.666666666666668,14.0,38.6875,30.08333333333333,59.04545454545455,42.63636363636363,53.68181818181818
29,7720,2-ethyl-1-hexanol,104-76-7,CCCCC(CC)CO,130.23,"1/1,000",33.0,1.0,21.142857142857142,23.5,27.0,60.8,21.5,16.4,26.53846153846154,30.846153846153847,31.33333333333333,27.285714285714285,26.526315789473685,26.1875,22.0625,21.647058823529413,14.0,26.6,12.0,36.96153846153846,79.68518518518519,19.35185185185185,42.11111111111112
29,7720,2-ethyl-1-hexanol,104-76-7,CCCCC(CC)CO,130.23,"1/100,000",38.6,32.25,17.375,6.0,27.0,24.6,28.0,39.66666666666666,36.285714285714285,19.857142857142858,27.714285714285715,15.285714285714286,38.85,25.25,29.88888888888889,17.526315789473685,9.5,30.0,8.333333333333334,15.9,51.19565217391305,25.89130434782609,43.58695652173913
30,7731,4-Methylanisole,104-93-8,CC1=CC=C(C=C1)OC,122.16,"1/1,000",19.142857142857142,20.0,31.26315789473684,4.142857142857143,16.333333333333332,8.5,27.83333333333333,22.0,39.84615384615385,24.88888888888889,14.857142857142858,9.333333333333334,20.181818181818183,10.25,12.88888888888889,24.0,31.0,24.2,16.833333333333332,23.727272727272727,70.5,47.69230769230769,48.17307692307692
30,7731,4-Methylanisole,104-93-8,CC1=CC=C(C=C1)OC,122.16,"1/100,000",25.11111111111111,21.0,23.07692307692308,22.33333333333333,23.666666666666668,31.666666666666668,28.7,26.5,21.08333333333333,18.5,20.428571428571427,37.125,29.142857142857142,25.0,33.333333333333336,13.0,17.88888888888889,21.0,51.30769230769231,16.8,44.84444444444444,56.31111111111111,50.2
31,5363233,3-Decen-2-one,10519-33-2,CCCCCCC=CC(=O)C,154.25,"1/1,000",27.33333333333333,,29.166666666666668,5.333333333333333,15.75,20.75,33.25,32.27272727272727,13.3,37.8,28.5625,31.571428571428573,22.875,23.8,31.33333333333333,21.25,33.5,27.875,24.666666666666668,30.56,65.42,33.86,42.5
31,5363233,3-Decen-2-one,10519-33-2,CCCCCCC=CC(=O)C,154.25,"1/100,000",1.0,,21.75,45.0,,63.0,1.3333333333333333,24.83333333333333,22.6,14.0,16.5,37.66666666666666,14.0,25.25,35.0,39.66666666666666,26.6,34.4,12.333333333333334,21.33333333333333,21.61904761904762,46.80952380952381,27.09523809523809
32,61523,5-Phenyl-1-pentanol,10521-91-2,C1=CC=C(C=C1)CCCCCO,164.24,"1/1,000",15.6,20.4,29.428571428571427,24.357142857142858,20.0,13.0,21.0,12.833333333333334,21.75,28.857142857142858,32.857142857142854,20.384615384615383,40.2,26.25,24.6,2.5,5.5,19.5,19.823529411764707,28.42105263157895,53.4,53.58,49.22
32,61523,5-Phenyl-1-pentanol,10521-91-2,C1=CC=C(C=C1)CCCCCO,164.24,"1/100,000",45.2,20.75,19.416666666666668,6.8,,,26.0,,23.33333333333333,4.5,,16.166666666666668,20.25,,,78.0,32.0,,31.33333333333333,7.0,17.19047619047619,56.76190476190476,34.476190476190474
33,7749,ethyl propionate,105-37-3,CCC(=O)OCC,102.13,"1/1,000",31.916666666666668,23.0,27.91304347826087,25.846153846153847,20.0,21.0,28.4,27.77777777777778,30.53846153846154,19.666666666666668,22.6,28.0,38.72727272727273,16.857142857142858,27.0,29.25,16.666666666666668,20.25,24.0,35.964285714285715,75.68518518518519,39.94444444444444,50.7037037037037
33,7749,ethyl propionate,105-37-3,CCC(=O)OCC,102.13,"1/100,000",9.857142857142858,18.5,18.4,9.6,25.8,29.5,24.285714285714285,19.4,27.181818181818183,14.625,16.0,28.33333333333333,30.6,21.3,24.88888888888889,6.222222222222222,14.833333333333334,18.6,20.0,24.53846153846154,53.90243902439025,31.341463414634145,44.48780487804878
34,7761,Diethyl malonate,105-53-3,CCOC(=O)CC(=O)OCC,160.17,"1/1,000",39.93103448275862,33.1,36.41666666666666,32.76315789473684,1.0,1.0,12.4,19.22222222222222,12.076923076923077,8.666666666666666,13.857142857142858,27.09090909090909,11.8,1.0,1.0,13.75,1.0,25.0,20.157894736842103,24.11111111111111,57.10909090909091,71.7090909090909,64.34545454545454
34,7761,Diethyl malonate,105-53-3,CCOC(=O)CC(=O)OCC,160.17,"1/100,000",27.25,29.4,30.0,26.4,12.0,17.0,18.0,15.285714285714286,20.125,15.0,30.75,36.375,11.166666666666666,13.5,6.5,26.5,23.25,26.8,25.666666666666668,28.88888888888889,27.363636363636363,61.02272727272727,42.75
35,7762,ethyl butyrate,105-54-4,CCCC(=O)OCC,116.16,"1/1,000",44.15384615384615,40.90909090909091,34.57142857142857,33.303030303030305,1.0,1.0,9.0,20.142857142857142,34.5,24.33333333333333,16.25,20.9,9.75,20.666666666666668,11.0,44.4,8.333333333333334,9.0,24.07692307692308,32.53333333333333,77.78181818181818,61.127272727272725,65.56363636363636
35,7762,ethyl butyrate,105-54-4,CCCC(=O)OCC,116.16,"1/100,000",29.42105263157895,20.8,33.42424242424242,34.56,13.0,8.0,16.25,9.5,14.0,23.83333333333333,15.0,29.75,9.6,16.666666666666668,29.6,20.666666666666668,13.75,33.666666666666664,32.583333333333336,23.2,49.56521739130435,59.630434782608695,53.45652173913044
